MonthNumeric,MonthFactor,Year,RAV4Sales,Unemployment,RAV4Queries,CPIAll,CPIEnergy
1,January,2015,19824,5.7,38,234.747,199.926
2,February,2015,21943,5.5,41,235.342,203.021
3,March,2015,25243,5.4,44,235.976,205.757
4,April,2015,22914,5.4,41,236.222,203.577
5,May,2015,28808,5.6,43,237.00099999999998,208.97299999999998
6,June,2015,24843,5.3,49,237.657,212.015
7,July,2015,26709,5.2,50,238.03400000000002,211.623
8,August,2015,30534,5.1,50,238.033,208.579
9,September,2015,27104,5.0,46,237.498,197.24599999999998
10,October,2015,28256,5.0,44,237.733,195.61599999999999
11,November,2015,27368,5.1,46,238.017,195.114
12,December,2015,31866,5.0,48,237.761,190.143
