MonthNumeric,MonthFactor,Year,RAV4Sales,Unemployment,RAV4Queries,CPIAll,CPIEnergy
1,January,2014,16880,6.6,35,235.28799999999998,250.34
2,February,2014,16451,6.7,38,235.547,249.925
3,March,2014,19733,6.7,38,236.028,249.96099999999998
4,April,2014,18834,6.2,38,236.468,249.864
5,May,2014,23465,6.3,36,236.918,249.213
6,June,2014,21589,6.1,42,237.231,249.71400000000003
7,July,2014,26779,6.2,48,237.498,248.74400000000003
8,August,2014,35614,6.1,46,237.46,245.699
9,September,2014,22724,5.9,42,237.477,241.61
10,October,2014,21524,5.7,39,237.43,237.06099999999998
11,November,2014,21108,5.8,40,236.983,229.016
12,December,2014,22997,5.6,34,236.252,218.53599999999997
