MonthNumeric,MonthFactor,Year,RAV4Sales,Unemployment,RAV4Queries,CPIAll,CPIEnergy
1,January,2012,9819,8.3,28,227.842,244.87599999999998
2,February,2012,12677,8.3,27,228.329,248.898
3,March,2012,17367,8.2,29,228.80700000000002,249.74200000000002
4,April,2012,15196,8.2,30,229.187,249.67700000000002
5,May,2012,19248,8.2,31,228.713,241.80599999999998
6,June,2012,15129,8.2,33,228.524,235.89700000000002
7,July,2012,15248,8.2,33,228.59,233.56799999999998
8,August,2012,15685,8.1,36,229.918,244.987
9,September,2012,13796,7.8,33,231.015,252.987
10,October,2012,10936,7.8,29,231.638,256.017
11,November,2012,12423,7.7,34,231.24900000000002,248.81900000000002
12,December,2012,14351,7.9,34,231.22099999999998,244.708
