MonthNumeric,MonthFactor,Year,RAV4Sales,Unemployment,RAV4Queries,CPIAll,CPIEnergy
1,January,2013,11610,8.0,36,231.679,245.025
2,February,2013,13329,7.7,39,232.937,255.696
3,March,2013,16474,7.5,42,232.282,246.595
4,April,2013,18541,7.6,44,231.797,240.47299999999998
5,May,2013,20780,7.5,38,231.893,240.468
6,June,2013,20540,7.5,43,232.445,242.71099999999998
7,July,2013,19538,7.3,42,232.9,242.986
8,August,2013,23502,7.2,40,233.456,244.833
9,September,2013,15928,7.2,39,233.544,242.745
10,October,2013,17590,7.2,35,233.669,241.954
11,November,2013,19447,6.9,35,234.1,242.718
12,December,2013,20970,6.7,33,234.71900000000002,245.733
