MonthNumeric,MonthFactor,Year,RAV4Sales,Unemployment,RAV4Queries,CPIAll,CPIEnergy
1,January,2018,26655,4.0,57,248.81599999999997,217.707
2,February,2018,29867,4.1,58,249.475,220.985
3,March,2018,34937,4.0,71,249.41299999999998,215.68200000000002
4,April,2018,31007,4.0,70,249.957,217.172
5,May,2018,38202,3.8,66,250.64,219.764
6,June,2018,37722,4.0,67,251.176,222.00099999999998
7,July,2018,41093,3.8,76,251.482,220.78799999999998
8,August,2018,42222,3.8,75,251.905,223.71099999999998
9,September,2018,37440,3.7,73,252.261,222.732
10,October,2018,34004,3.8,75,252.77700000000002,225.459
11,November,2018,35350,3.8,81,252.662,219.157
12,December,2018,38669,3.9,84,252.653,213.472
